bgg_id,theme
1535,"Racing, Sports"
1536,"Zombies, Theme_Food / Cooking"
1537,"Transportation, Trains"
1540,"Fighting, Science Fiction, Theme_Mech Warfar"
1542,Economic
1543,"Adventure, Fantasy, Fighting, Medieval"
1545,Theme_Flowers
1546,"Adventure, Fantasy, Fighting"
1549,Movies / TV / Radio theme
1551,"Nautical, Theme_Submarines"
1552,"Science Fiction, Humor, Political"
1555,Medieval
1556,Medieval
1557,"Economic, Science Fiction, Space Exploration"
1558,"Adventure, Fighting, Science Fiction, Comic Book / Strip, Theme_Post-Apocalyptic"
1559,"Fighting, Comic Book / Strip"
1560,"Adventure, Fantasy, Fighting, Humor, Maze"
1561,Murder/Mystery
1563,"World War II, Political"
1566,Science Fiction
1567,Racing
1568,Science Fiction
1570,World War II
1571,"Adventure, Fantasy, Fighting, Economic, Novel-based"
1574,Modern Warfare
1575,"Post-Napoleonic, American Civil War"
1576,American Civil War
1577,"Post-Napoleonic, Theme_Colonial"
1578,"Fighting, Science Fiction, Racing"
1579,Fighting
1580,"Adventure, Fighting"
1581,Transportation
1582,World War II
1583,World War II
1585,World War II
1586,"Adventure, Fantasy, Novel-based"
1588,Farming
1589,"Science Fiction, Space Exploration, Movies / TV / Radio theme"
1590,Economic
1593,"Fantasy, Political"
1594,"Science Fiction, Movies / TV / Radio theme"
1597,"Transportation, Trains"
1598,Science Fiction
1599,Science Fiction
1603,"Economic, Civilization"
1604,"Comic Book / Strip, Humor"
1607,Trivia
1608,"Fighting, World War II"
1610,"Adventure, Fantasy, Fighting"
1611,"Adventure, Movies / TV / Radio theme, Animals"
1613,"Horror, Theme_Witches"
1616,"American West, Theme_Sieg"
1617,"Transportation, Nautical, Racing"
1618,"Movies / TV / Radio theme, Post-Napoleonic, Theme_Deserts"
1619,"Economic, Mafia"
1620,Ancient
1621,Science Fiction
1623,"Science Fiction, Racing"
1624,"Adventure, Fantasy, Fighting, Novel-based"
1625,"Adventure, Fantasy, Movies / TV / Radio theme, Theme_Anime / Manga"
1626,"Fantasy, Movies / TV / Radio theme, Medieval"
1627,"Fantasy, Science Fiction, Comic Book / Strip, Mature / Adult"
1628,"Adventure, Fantasy, Novel-based"
1629,"Modern Warfare, Aviation / Flight"
1631,"Adventure, Fantasy, Medieval"
1632,"Fantasy, Fighting"
1633,"Spies/Secret Agents, World War II"
1634,"Adventure, Fantasy, Fighting"
1635,Fantasy
1636,"Fantasy, Medieval"
1637,Science Fiction
1640,"Movies / TV / Radio theme, Trivia"
1641,"Adventure, Nautical"
