bgg_id,publisher
187,ABACUSSPIELE
187,Fantasy Flight Games
187,Heidelberger Spieleverlag
187,Esdevium
188,Moskito Spiele
188,Fantasy Flight Games
188,Giochi Uniti
188,Stratelibri
188,"Swan Panasia Co., Ltd."
188,Competo / Marektoy
188,Heidelberger Spieleverlag
188,IELLO
188,HeidelBÄR Games
188,Intrafin Games
188,UBO CnC
189,3M
189,The Avalon Hill Game Co
189,Casper
190,ASS Altenburger Spielkarten
191,Wargames Club Publishing
191,AMIGO
191,"New Games Order, LLC"
191,Ravensburger
191,Überplay
191,OPEN'N PLAY
191,Popcorn Games
191,Eagle-Gryphon Games
191,University Games
191,Kanga Games
191,FoxGames
191,GaGa Games
191,"Gemblo, Inc."
191,Origames
191,Osprey Games
191,SD Games
191,Studio Supernova
191,Low-Exp Publisher
192,Milton Bradley
192,"Avalon Hill Games, Inc."
192,Wizards of the Coast
193,Rio Grande Games
193,AMIGO
193,Midgaard Games
193,Mercurio
194,AMIGO
194,Ravensburger
194,Queen Games
195,"Avalon Hill Games, Inc."
195,The Avalon Hill Game Co
195,Welt der Spiele
195,Z-Man Games
195,Gibsons
195,Ragnar Brothers
195,Low-Exp Publisher
196,Looney Labs
196,Low-Exp Publisher
197,Cwali
198,Atlas Games
198,NekoCorp
199,999 Games
199,Rio Grande Games
199,AMIGO
200,The Avalon Hill Game Co
201,The Avalon Hill Game Co
202,999 Games
202,Descartes Editeur
202,Eurogames
203,"Valley Games, Inc."
203,Descartes Editeur
203,Smart Ltd
203,The Avalon Hill Game Co
204,Descartes Editeur
204,The Avalon Hill Game Co
205,The Avalon Hill Game Co
205,Battleline
206,Hobby Japan
206,"SPI (Simulations Publications, Inc.)"
207,Edge Entertainment
207,Fantasy Flight Games
207,The Avalon Hill Game Co
207,Devir
207,Welt der Spiele
207,Heidelberger Spieleverlag
207,Gibsons
207,Delta Vision Publishing
207,Esdevium
208,Prism Games
208,TimJim Games
209,Descartes Editeur
209,Hobby Japan
209,Schmidt Spiele
209,ASS Altenburger Spielkarten
209,West End Games
209,Pegasus Spiele
209,Borras Plana S.A.
209,Matagot
209,ToyCo
209,Alderac Entertainment Group
209,Ediciones MasQueOca
209,Low-Exp Publisher
210,Hobby Japan
210,The Avalon Hill Game Co
210,Multi-Man Publishing
211,The Avalon Hill Game Co
211,Battleline
212,Low-Exp Publisher
213,999 Games
213,Rio Grande Games
213,Gigamic
213,F.X. Schmid
213,"U.S. Games Systems, Inc."
213,Zoch Verlag
214,Games Workshop Ltd.
215,Z-Man Games
215,Argentum Verlag
215,Walter Müller's Spielewerkstatt
