bgg_id,publisher
157,"Användbart Litet Företag, Blatz, nestorgames"
158,"AMIGO, Low-Exp Publisher"
159,F.X. Schmid
160,"Grow Jogos e Brinquedos, Schmidt Spiele, Brädspel.se, Alga, (Unknown), Hasbro, Waddingtons, Borras Plana S.A., Clipper, Editrice Giochi, Miro Company, Palitoy Ltd., Parker Brothers, Winning Moves Games (USA), Majora, Barnes & Noble, Carlit, El Greco, Guau, Juegos Crone, Nilco S.A., Smeets & Schippers, Tomy"
161,"Playroom Entertainment, Kanga Games, Nasza Księgarnia, Spiel Spass, W. Nostheide Verlag GmbH"
162,"Blatz, Pin International"
163,"Cheapass Games, Greater Than Games, LLC"
164,"Hasbro, Parker Brothers, Low-Exp Publisher"
165,"E.S. Lowe, Milton Bradley, Korea Boardgames Co., Ltd., 3M, Dujardin, Schmidt International, Schmidt Spiele, The Avalon Hill Game Co, Ravensburger, Alga, (Unknown), Waddingtons, Borras Plana S.A., (Public Domain), (Self-Published), Jumbo, Gamma Two Games, Spear's Games, Copp Clark Publishing Company, Otto Maier Verlag, CHH Games, Cayro, the games, Creative Crafthouse, Crisloid, Dal Negro, Dilemma Games, Dynamic Games / Dynamic Design Industries, Fame Products, Hartung-Spiele, L. P. Septímio, Longfield Games, Monkey Pod Games, Pacific Game Company, Skor-Mor, Volume-One Products, Wm F. Drueke & Sons, Inc., Wood Expressions, WorldWise Imports, LLC, nestorgames, Barnes & Noble, Ariel Productions Ltd, Cathay, Das Spiel, Gammon Games, Gentosha Education, Geoludie, HEMA, Hausser, Hobby, John N. Hansen Co., Inc., L'Impensé Radical, Michael Stanfield, Mitra, Philos, Reiss Games, The Game Crafter, LLC, Woodstock Spiele, Low-Exp Publisher"
166,KOSMOS
167,Hans im Glück
168,"Korea Boardgames Co., Ltd., AMIGO, Lifestyle Boardgames Ltd, Oya, Nasza Księgarnia"
169,"ABACUSSPIELE, PS-Games, Game Factory, HOT Games, Low-Exp Publisher"
170,Low-Exp Publisher
171,Milton Bradley
172,"The Avalon Hill Game Co, New Games Order, LLC, Fata Morgana Spiele"
173,Low-Exp Publisher
174,F.X. Schmid
175,"Hans im Glück, 999 Games, Korea Boardgames Co., Ltd., Rio Grande Games, Broadway Toys LTD, Mercurio, Mayfair Games, Ludodélire, Arclight, Mandoo Games, Tactic, Act in games, Fabrika Igr, FoxGames, FoxMind, Last Level, Litas Spil, Nelospelit, Olsen"
176,"999 Games, Mayfair Games, Goldsieber Spiele"
177,"999 Games, KOSMOS, Tilsit, OPEN'N PLAY, db-Spiele, White Goblin Games, リゴレ (rigoler)"
178,Jumbo
179,"999 Games, Rio Grande Games, Pegasus Spiele, Grail Games, Group SNE"
180,"F.X. Schmid, テンデイズゲームズ (Ten Days Games)"
181,"AMIGO, Wizards of the Coast"
182,"Ravensburger, F.X. Schmid"
183,"Hasbro, Parker Brothers, Game Office, ToyCo"
184,"Milton Bradley, Hasbro, MB Jeux, Blackrock Games, Cocktail Games, MB Spiele"
185,"Rio Grande Games, Mattel, AMIGO, Kaissa Chess & Games, Swan Panasia Co., Ltd., Low-Exp Publisher"
186,"999 Games, ABACUSSPIELE, Korea Boardgames Co., Ltd., Rio Grande Games, Hobby World, G3, Swan Panasia Co., Ltd., Filosofia Éditions, Vennerød Forlag AS, HomoLudicus, Playhouse Ltd, uplay.it edizioni, Fata Morgana Spiele, TIKI Editions"
187,"ABACUSSPIELE, Fantasy Flight Games, Heidelberger Spieleverlag, Esdevium"
188,"Moskito Spiele, Fantasy Flight Games, Giochi Uniti, Stratelibri, Swan Panasia Co., Ltd., Competo / Marektoy, Heidelberger Spieleverlag, IELLO, HeidelBÄR Games, Intrafin Games, UBO CnC"
189,"3M, The Avalon Hill Game Co, Casper"
190,ASS Altenburger Spielkarten
191,"Wargames Club Publishing, AMIGO, New Games Order, LLC, Ravensburger, Überplay, OPEN'N PLAY, Popcorn Games, Eagle-Gryphon Games, University Games, Kanga Games, FoxGames, GaGa Games, Gemblo, Inc., Origames, Osprey Games, SD Games, Studio Supernova, Low-Exp Publisher"
192,"Milton Bradley, Avalon Hill Games, Inc., Wizards of the Coast"
193,"Rio Grande Games, AMIGO, Midgaard Games, Mercurio"
194,"AMIGO, Ravensburger, Queen Games"
195,"Avalon Hill Games, Inc., The Avalon Hill Game Co, Welt der Spiele, Z-Man Games, Gibsons, Ragnar Brothers, Low-Exp Publisher"
196,"Looney Labs, Low-Exp Publisher"
197,Cwali
198,"Atlas Games, NekoCorp"
199,"999 Games, Rio Grande Games, AMIGO"
